source,BOCnt,CCCnt
Ramirez-Evans,1,0
Ramirez-Guerrero,1,0
Ramirez-Jones,1,0
Ramirez-Kelly,1,0
Ramirez-Mcfarland,1,0
Ramirez-Newton,1,0
Ramirez-Rivera,1,0
Ramirez-Valencia,1,0
Ramos Group,2,0
Ramos LLC,2,0
Ramos PLC,2,0
"Ramos, Baker and Powers",1,0
"Ramos, Evans and Hicks",1,0
"Ramos, Mueller and Powell",1,0
Ramos-Austin,1,0
Ramos-Jarvis,1,0
Ramos-Moyer,1,0
Ramos-Perry,1,0
Ramos-Torres,1,0
Ramos-Weaver,1,0
"Ramsey, Mclaughlin and Lewis",1,0
Ramsey-Morris,1,0
Ramsey-Perez,1,0
Ramsey-Schultz,1,0
Randall Group,1,0
Randall LLC,1,0
Randall PLC,1,0
"Randolph, Mosley and Aguilar",1,0
Randolph-Wu,1,0
Rangel Inc,1,0
Rangel Ltd,1,0
"Rangel, Melton and Warren",1,0
Rangel-Herring,1,0
Rasmussen Group,1,0
Ray LLC,1,1
"Ray, Baker and Figueroa",1,0
"Ray, Downs and Jones",1,0
"Ray, Myers and Mueller",1,0
"Ray, Smith and Graves",1,0
Ray-Clark,1,0
Ray-Lewis,1,0
Raymond Group,1,0
Red Sea  Limited Liability Company,1,1
Red Sea  N.V. Transport,4,1
Reed Group,2,0
Reed Inc,1,0
Reed Ltd,2,0
Reed and Sons,1,0
"Reed, Dixon and Stewart",1,0
"Reed, Little and Singh",1,0
"Reed, Powell and Greer",1,0
Reed-Anderson,1,0
Reed-Burns,1,0
Reed-Logan,1,0
Reed-Mcdonald,1,0
Reed-Padilla,1,0
Reed-Richards,1,0
Reed-Valencia,1,0
Reef Rascals Jetty BV Forwading,5,1
Reef Rascals Plc Carriers,5,1
Reef Rascals S.A. de C.V.,3,1
ReefR estaurant Oyj International,5,1
ReefR estaurant Plc Merchants,1,1
ReefR estaurant SE Express,2,1
ReefRider Ges.m.b.H. Marine life,7,1
ReefRider S.A. de C.V.,2,1
Reese PLC,2,0
"Reese, Mclean and Hanna",1,0
"Reese, Phillips and Moody",1,0
"Reese, Reid and Owen",1,0
Reese-Hernandez,1,0
Reeves Inc,1,0
"Reeves, Beck and Glenn",1,0
"Reeves, Blanchard and Miller",1,0
"Reeves, Ramirez and Hawkins",1,0
Reid Group,2,0
Reid LLC,1,0
Reid Ltd,1,0
"Reid, Montoya and Bowen",1,0
"Reid, Scott and Arellano",1,0
Reid-Hall,1,0
"Reilly, Chandler and Armstrong",1,0
Reilly-Bond,1,0
Reyes Group,2,0
Reyes Inc,1,0
Reyes Ltd,2,0
Reyes PLC,1,0
Reyes and Sons,1,1
"Reyes, Cunningham and Hall",1,0
"Reyes, Hall and White",1,0
"Reyes, Jackson and Johnson",1,0
"Reyes, Ruiz and Robertson",1,0
Reyes-Kelly,1,0
Reyes-Roberts,1,0
Reynolds Inc,1,1
Reynolds LLC,2,0
Reynolds PLC,1,0
Reynolds and Sons,1,0
"Reynolds, Johnson and Fuller",1,0
"Reynolds, Santiago and Johnson",1,0
Reynolds-Cannon,1,0
Reynolds-Duncan,1,0
Reynolds-King,1,0
Reynolds-Oliver,1,0
Reynolds-Smith,1,1
"Rhodes, Fisher and Thomas",1,0
Rhodes-Brown,1,0
Rhodes-Powers,1,0
Rice Group,2,1
Rice Inc,1,0
"Rice, Ho and Barnes",1,0
Rice-Gonzalez,1,0
Rice-Holmes,1,0
Rice-Peters,1,0
Rice-Rivera,1,0
Rice-Romero,1,0
Rice-Thompson,1,0
Rice-Valdez,1,0
Rich Group,1,0
"Rich, Allen and Brown",1,0
"Rich, Gray and Gates",1,0
Rich-Gonzalez,1,0
Rich-Moss,1,0
Rich-Murphy,1,0
Richard GmbH & Co. KG,3,2
"Richard, Barber and Thomas",1,0
"Richard, Nguyen and Cooke",1,0
Richard-Wilkinson,1,0
Richards Inc,1,1
Richards LLC,1,1
Richards and Sons,1,0
"Richards, Bell and Moody",1,0
Richards-Smith,1,0
Richardson Group,1,0
Richardson Inc,1,1
Richardson LLC,1,0
Richardson and Sons,1,1
"Richardson, Evans and Lynn",1,0
"Richardson, Martinez and Turner",1,0
"Richardson, Wilson and Erickson",1,0
Richardson-Atkinson,1,0
Richardson-Berry,1,0
Richardson-Gray,1,0
Richardson-Hamilton,1,0
Richardson-Hunter,1,0
Richardson-Medina,1,0
Richardson-Rodriguez,1,0
Richardson-Santiago,1,0
Richmond Inc,1,0
Richmond PLC,1,0
Richmond-Hall,1,0
Richmond-Ramirez,1,0
Riddle Ltd,1,0
Riddle PLC,1,0
"Riddle, Lane and French",1,0
Riddle-Mcbride,1,0
Riddle-Whitehead,1,0
Rift Valley fishery Corporation,1,1
Rift Valley fishery Delivery,2,1
Rift Valley fishery LLC Services,7,1
Rift Valley fishery SRL,4,1
Riggs Group,1,0
"Riggs, Robinson and Garcia",1,0
Riley Group,1,1
Riley PLC,1,0
Riley and Sons,1,0
"Riley, Lopez and Anderson",1,0
"Riley, Richardson and Powell",1,0
Riley-Dunn,1,0
Riley-Payne,1,0
Rios PLC,1,0
"Rios, Castillo and Mills",1,0
"Rios, Hall and Bradley",1,0
"Rios, Reyes and Green",1,0
"Rios, Robinson and Miller",1,0
"Rios, Wilson and Ponce",1,0
Rios-Hernandez,1,0
Rios-Hill,1,0
Rios-Martinez,1,0
Ritter PLC,1,0
Rivas Group,1,0
Rivas PLC,1,0
"Rivas, Smith and Tate",1,0
River Gambia  Ltd. Corporation,1,1
River Gambia  Otter Corporation Marine,2,1
Rivera Group,1,0
Rivera LLC,1,1
Rivera Ltd,3,1
"Rivera, Ball and Ross",1,0
"Rivera, Bright and Black",1,0
"Rivera, Brown and Wilkinson",1,0
"Rivera, Hutchinson and Houston",1,0
"Rivera, Smith and Scott",1,0
"Rivera, Wilcox and Mills",1,0
Rivera-Foster,1,1
Rivera-Myers,1,0
Rivera-Potter,1,0
Rivers and Sons,1,0
"Rivers, Riley and Phillips",1,0
Rivers-Rowe,1,0
Roach Inc,1,0
Roach-Cruz,1,0
Robbins Inc,1,0
"Robbins, Pierce and Carter",1,0
Robbins-Moody,1,0
Roberson Ltd,1,0
Roberson PLC,1,0
"Roberson, Daniel and Fletcher",1,0
"Roberson, Mayer and Mitchell",1,0
Roberson-Mcdaniel,1,0
Roberson-Wells,1,0
Robert Marine conservation A/S Express,2,1
Robert Transit Marine sanctuary,2,1
Roberts Inc,2,1
Roberts Ltd,1,1
Roberts and Sons,2,0
"Roberts, Carter and Jones",1,0
"Roberts, Foley and Thomas",1,0
"Roberts, James and Mann",1,0
"Roberts, Martinez and Rodriguez",1,0
"Roberts, West and Johns",1,0
"Roberts, Zuniga and Petersen",1,0
Roberts-Anderson,1,0
Roberts-Decker,1,0
Roberts-Delgado,1,0
Roberts-Hamilton,1,0
Roberts-Harvey,1,0
Roberts-Mason,1,0
Roberts-Massey,1,0
Roberts-Maynard,1,0
Roberts-Mendoza,1,0
Robertson Ltd,1,0
Robertson and Sons,1,1
"Robertson, Marsh and Ortega",1,0
"Robertson, Miller and Proctor",1,0
Robertson-Avery,1,0
Robertson-Bond,1,0
Robertson-Riddle,1,0
Robertson-Yu,1,0
Robinson Group,3,0
Robinson Inc,2,2
Robinson LLC,3,0
Robinson PLC,3,2
Robinson and Sons,2,3
"Robinson, Goodman and Hayes",1,0
"Robinson, Lawson and Tran",1,0
"Robinson, Mejia and Johnson",1,0
"Robinson, Roberts and Hill",1,0
"Robinson, Young and Lutz",1,0
Robinson-Edwards,1,0
Robinson-Fernandez,1,0
Robinson-Morales,1,0
Robinson-Morton,1,0
Robinson-Oliver,1,0
Robinson-Parker,1,0
Robinson-Wallace,1,0
Robles Inc,1,0
Robles Ltd,2,0
Robles PLC,1,1
Robles and Sons,1,0
"Robles, Kemp and Garcia",1,0
Robles-Nelson,1,0
Robles-Norton,1,0
Rocha Group,1,0
Rodgers Ltd,1,2
"Rodgers, Allen and Garcia",1,0
Rodgers-Jefferson,1,0
Rodgers-Ramirez,1,0
Rodgers-Smith,1,0
Rodgers-Wright,1,0
Rodriguez Group,2,2
Rodriguez Inc,4,0
Rodriguez LLC,4,1
Rodriguez Ltd,4,3
Rodriguez PLC,1,1
Rodriguez and Sons,3,3
"Rodriguez, Cole and Taylor",1,0
"Rodriguez, Coleman and Martinez",1,0
"Rodriguez, Conway and Avery",1,0
"Rodriguez, Erickson and Woods",1,0
"Rodriguez, Kim and Brown",1,0
"Rodriguez, Leon and Holt",1,0
"Rodriguez, Martinez and Bauer",1,0
"Rodriguez, Martinez and Wallace",1,0
"Rodriguez, Mcclure and Keller",1,0
"Rodriguez, Medina and Williams",1,0
"Rodriguez, Watkins and Russell",1,0
"Rodriguez, Williams and Guerrero",1,0
Rodriguez-Campbell,1,0
Rodriguez-Gonzalez,1,0
Rodriguez-Green,1,0
Rodriguez-Greene,1,0
Rodriguez-Hampton,1,0
Rodriguez-Harrison,1,0
Rodriguez-Hill,1,0
Rodriguez-Martinez,1,0
Rodriguez-Mcdonald,1,0
Rodriguez-Morales,1,0
Rodriguez-Murphy,1,0
Rodriguez-Pena,1,0
Rodriguez-Scott,1,0
Rodriguez-Snow,1,0
Rodriguez-Stokes,1,0
Rodriguez-Turner,1,0
Rodriguez-Villegas,1,0
Rodriguez-Wheeler,1,0
Rodriguez-Wise,1,0
Rodriguez-York,1,0
Rogers Inc,2,0
Rogers LLC,1,1
Rogers PLC,1,0
"Rogers, Barnes and Robertson",1,0
"Rogers, Brown and Gomez",1,0
"Rogers, Clark and Hebert",1,0
"Rogers, Garcia and Ballard",1,0
"Rogers, Harris and Maldonado",1,0
"Rogers, Herman and Woods",1,0
"Rogers, Mason and Burke",1,0
"Rogers, Mullins and Brewer",1,0
"Rogers, Nielsen and Elliott",1,0
"Rogers, Perry and Bishop",1,0
"Rogers, White and Lee",1,0
"Rogers, Wright and Wood",1,0
"Rogers, Yates and Williams",1,0
Rogers-Becker,1,0
Rogers-Boyd,1,0
Rogers-Campbell,1,0
Rogers-Mccormick,1,0
Rogers-Moran,1,0
Rogers-Phillips,1,0
Rogers-Robinson,1,0
Rogers-Smith,1,0
Rojas Group,1,0
Rojas Ltd,1,0
Rojas and Sons,1,0
"Rojas, Rice and Kennedy",1,0
"Rojas, Ross and Jones",1,0
Rollins PLC,1,0
"Roman, Contreras and Erickson",1,0
"Roman, Parks and Harrison",1,0
Roman-Ferguson,1,0
Romero GmbH & Co. KG,4,2
Romero Group,2,0
Romero LLC,1,0
Romero Limited Liability Company,25,0
Romero Ltd and Son's,5,1
Romero Marine sanctuary Ray,2,1
Romero Wakame GmbH & Co. KG Delivery,2,1
"Romero, Delgado and Vega",1,0
"Romero, Jacobs and Stephens",1,0
"Romero, Morton and Hernandez",1,0
"Romero, Norman and Conrad",1,0
Romero-Flowers,1,0
Ronan Catfish Corp Solutions,4,1
Ronan N.V. Marine ecology,1,1
Ronan Tuna Ltd Logistics,3,1
"Rosales, Armstrong and Miller",1,0
"Rosales, Bowman and Spencer",1,0
"Rosales, Howard and Burke",1,0
Rosales-Lewis,1,0
Rosario-White,1,0
Rose Inc,1,0
Rose LLC,1,2
Rose Ltd,2,0
Rose and Sons,1,0
"Rose, Chen and Gonzalez",1,0
"Rose, Finley and Zamora",1,0
"Rose, Green and Cruz",1,0
Rose-Aguirre,1,0
Rose-Burton,1,0
Rose-Gonzales,1,0
Rose-Howell,1,0
Rose-Lambert,1,0
Rose-Smith,1,1
Ross Group,1,0
Ross Inc,1,0
Ross PLC,2,1
Ross and Sons,1,0
"Ross, Wells and Fitzgerald",1,0
Ross-Austin,1,0
Ross-Conner,1,0
Ross-Powers,1,0
Ross-Williams,1,0
Roth Ltd,1,0
"Rowe, Jenkins and Jones",1,0
"Rowe, Potts and Harrington",1,0
"Rowe, Walsh and Anderson",1,0
"Rowe, Warner and Douglas",1,0
Rowe-Brewer,1,0
Rowe-Brown,1,0
Rowe-Duarte,1,0
Rowe-Li,1,0
Rowe-Mckee,1,0
Rowland LLC,1,0
Rowland Ltd,1,0
"Rowland, Clark and Reeves",1,0
Rowland-Rose,1,0
Roy PLC,1,0
Roy and Sons,1,0
"Roy, Phillips and Chaney",1,0
Roy-Brown,1,0
Roy-Mercer,1,0
Rubio Ltd,1,0
Rubio-Evans,1,0
Rufiji Delta  CJSC Solutions,1,1
Rufiji Delta  GmbH Express,39,1
Rufiji Delta  Limited Liability Company,1,1
Rufiji Delta  Ltd. Corporation,2,1
Rufiji Delta  Ltd. Liability Co,1,1
Rufiji Delta  S.A. de C.V.,2,1
Rufiji Delta  Transit Whale,5,1
Rufiji River  Limited Liability Company Delivery,1,1
Ruiz Inc,2,0
"Ruiz, Delgado and Wright",1,0
"Ruiz, Ellis and Bruce",1,0
"Ruiz, Garcia and Bullock",1,0
"Ruiz, Myers and Juarez",1,0
Ruiz-Anderson,1,0
Ruiz-Costa,1,0
Ruiz-Fox,1,0
Ruiz-Meyer,1,0
Ruiz-Miller,1,0
Ruiz-Ryan,1,0
Ruiz-Travis,1,0
Rush and Sons,1,0
"Rush, Barnes and Williams",1,0
"Rush, Davis and Trujillo",1,0
Russell Group,2,0
Russell Inc,1,0
Russell PLC,1,1
Russell and Sons,1,0
"Russell, Hill and Boone",1,0
"Russell, Long and Reed",1,0
"Russell, Mcmillan and Robinson",1,0
"Russell, Sanchez and Edwards",1,0
Russell-Anderson,1,0
Russell-Benjamin,1,0
Russell-Johnson,1,0
Russell-Scott,1,0
Russian River Corp Worldwide,2,1
Russo-Hood,1,0
Ryan Inc,1,0
Ryan Ltd,1,1
"Ryan, Chavez and Foster",1,0
"Ryan, Johnson and Bell",1,0
"Ryan, Thomas and Wilson",1,0
Ryan-Alvarado,1,0
Ryan-Curry,1,0
Ryan-Ellis,1,0
Ryan-Wilson,1,0
Rybachit BV Marine conservation,1,1
Rybachit Ltd. Corporation Transportation,2,1
S.A. de C.V. Sp,1,1
Sahara  LLC BV Shipping,12,1
Sahara  LLC Investment Sea,4,1
Saharan Coast  Eel NV Investment,2,1
Saharan Coast  Ges.m.b.H. Shipping,1,1
Saharan Coast  Incorporated Seafoam,2,0
Saharan Oasis  Incorporated & Son's,6,1
Saharan Oasis  Jetsam Kga Transit,3,1
Saharan Oasis  Plc Merchants,2,1
Saharan Oasis  S.A. de C.V.,1,1
Sailors and Surfers Canal Limited Liability Company Merchants,6,1
Sailors and Surfers Company,3,1
Sailors and Surfers GmbH & Co. KG,5,1
Sailors and Surfers Oceanfront,1,1
Sailors and Surfers SRL,1,1
Sailors and Surfers ОАО,2,1
Sailors and Surfers ОАО Delivery,3,1
"Salas, Hall and Hudson",1,0
Salas-Chen,1,0
Salas-Harrington,1,0
Salas-Pitts,1,0
Salazar Inc,1,0
Salazar Ltd,1,0
"Salazar, Clark and Williams",1,0
"Salazar, Moody and Scott",1,0
"Salazar, Walker and Bates",1,0
"Salazar, Williams and English",1,0
Salazar-Jacobs,1,0
Salinas Group,1,0
"Salinas, Campbell and Velasquez",1,0
Salinas-Stout,1,0
Salt WaterCo Cargo  Kga Transit,2,1
Salt WaterCo Company Delivery,10,1
Salt WaterCo Manatee Co Express,3,1
SaltSea Ltd. Corporation Marine sanctuary,1,1
Saltwater Sanctuary LLC Logistics,2,1
Saltwater Sanctuary Marine ecology,2,1
Saltwater Sanctuary Marine sanctuary,2,1
Saltwater Sanctuary Plc Merchants,5,1
Saltwater Sanctuary Sagl Line,2,1
Saltwater Seekers Co United,1,1
Saltwater Seekers Kga Express,3,1
Saltwater Seekers S.p.A. Snapper,1,1
Saltwater Serenity GmbH & Co. KG Transit,2,1
Saltwater Serenity Kga Distribution,5,1
Saltwater Sirens Dredge GmbH Worldwide,6,1
Saltwater Sirens Inc Export,1,1
Saltwater Sirens LC Consulting,13,1
Saltwater Sisters AS Marine life,2,1
Saltwater Sisters AS Worldwide,1,1
Saltwater Sisters Krill Oyj Freight,7,1
Saltwater Sisters Ltd. Corporation Shipping,7,1
Saltwater Sisters Ltd. Liability Co Services,2,1
Saltwater Sisters Mussel S.A. de C.V. Express,1,1
Saltwater Sisters Oyj Transport,2,1
Saltwater Sisters River Co Marine ecology,5,1
Saltwater Sisters SRL Cargo,3,1
Saltwater Sizzle AB Krill,3,1
Saltwater Sizzle BV Fish,2,0
Saltwater Sizzle LC Barge,1,1
Saltwater Solitude OJSC Transport,2,1
Saltwater Solitude Sp Solutions,1,1
Saltwater Solitude Sp and Son's,1,0
Saltwater Solitude Tom yum,4,1
Saltwater Solutions Brothers Swordfish,2,1
Saltwater Solutions Kga Freight,1,1
Saltwater Supreme S.A. de C.V.,2,1
Saltwater Surf Club AB Brothers,2,1
Saltwater Surf Club Incorporated International,1,1
Saltwater Surf Club S.A. de C.V. Logistics,2,1
Saltwater Symphony Family Cargo,10,1
Saltwater Symphony LLC International,1,0
SaltwaterSelections A/S Marine conservation,3,1
SaltwaterSelections LC & Son's,1,1
SaltwaterSupplies Seafoam CJSC Shipping,6,1
Samaka GmbH & Co. KG Freight,2,1
Samaka Limited Liability Company,2,1
Samaka Ltd. Liability Co Distribution,1,0
Samaka S.A. de C.V.,1,1
Sampson PLC,1,0
Sampson-Oconnor,1,0
Sanchez Group,5,0
Sanchez Inc,1,0
Sanchez LLC,1,0
Sanchez Ltd,2,0
Sanchez PLC,3,1
Sanchez and Sons,2,2
"Sanchez, Adams and Graham",1,0
"Sanchez, Alvarado and Buchanan",1,0
"Sanchez, Burton and Walters",1,0
"Sanchez, Castillo and James",1,0
"Sanchez, Collins and Smith",1,0
"Sanchez, Garner and Lynch",1,0
"Sanchez, Gonzalez and Williams",1,0
"Sanchez, Hayes and Marks",1,0
"Sanchez, Kaiser and Stafford",1,0
"Sanchez, Lee and Wood",1,0
"Sanchez, Poole and Cole",1,0
"Sanchez, Robertson and Acevedo",1,0
"Sanchez, Sloan and Dickerson",1,0
"Sanchez, Smith and Hopkins",1,0
"Sanchez, Sullivan and Taylor",1,0
Sanchez-Abbott,1,0
Sanchez-Becker,1,0
Sanchez-Boyd,1,0
Sanchez-Davis,1,0
Sanchez-Johnson,1,0
Sanchez-Thomas,1,0
Sanchez-Watson,1,0
Sanchez-Wright,1,0
Sander Ltd. Corporation Enterprises,2,1
Sander Ltd. Liability Co Solutions,22,1
Sanders Group,1,0
Sanders LLC,1,1
Sanders and Sons,2,1
"Sanders, Brooks and Maxwell",1,0
"Sanders, Graham and Collins",1,0
"Sanders, Kelley and Rowe",1,0
"Sanders, Morris and Hopkins",1,0
"Sanders, Thompson and Carr",1,0
"Sanders, Williams and Marshall",1,0
Sanders-Martinez,1,0
Sanders-Norris,1,0
Sanders-Richmond,1,0
Sanders-Williams,1,0
Sanders-Wood,1,0
Sandoval LLC,1,0
Sandoval-Clark,1,0
Sandoval-Robinson,1,0
Sanford Inc,1,0
Sanford PLC,1,1
Santana Inc,1,0
Santiago Group,1,0
Santiago PLC,1,0
"Santiago, Bond and Elliott",1,0
"Santiago, Mccoy and Spencer",1,0
"Santiago, Sanford and Owens",1,0
"Santiago, Turner and Kline",1,0
Santiago-Davis,1,0
Santiago-Gallagher,1,0
Santiago-Hicks,1,0
Santiago-Wells,1,0
Santos Ltd,1,0
Santos PLC,1,2
"Santos, Reeves and Williams",1,0
"Santos, Stephens and Owens",1,0
Saunders Ltd,1,0
Saunders PLC,1,0
"Saunders, Pitts and Barrett",1,0
Saunders-Donovan,1,0
Savage Group,1,0
"Savage, Davis and Lewis",1,0
Savage-Lewis,1,0
Savaneta Ltd. Liability Co Transport,3,1
Savaneta S.A. de C.V. Marine conservation,3,1
Savaneta SE and Son's,27,1
Savaneta Tuna AS Forwading,2,1
Sawyer Inc,1,0
"Sawyer, Reynolds and Rodriguez",1,0
Scania GmbH & Co. KG Marine sanctuary,4,1
Scania Kga Marine conservation,2,1
Schaefer Group,1,0
Schaefer and Sons,1,0
Schmidt Group,1,1
Schmidt LLC,1,0
Schmidt PLC,1,0
Schmidt and Sons,2,0
"Schmidt, Richmond and Bell",1,0
"Schmidt, Simon and Santiago",1,0
Schmidt-Washington,1,0
Schmidt-Welch,1,0
Schmitt LLC,1,0
Schneider Inc,1,0
Schneider LLC,1,0
Schneider Ltd,1,0
Schneider and Sons,1,0
"Schneider, Matthews and Taylor",1,0
Schneider-Brown,1,0
Schneider-Montgomery,1,0
Schneider-Wilson,1,0
Schroeder and Sons,1,0
"Schroeder, Clark and Strickland",1,0
Schultz PLC,2,0
"Schultz, Perry and King",1,0
Schultz-Brown,1,0
Schultz-Rice,1,0
Schwartz LLC,1,0
Schwartz PLC,1,0
"Schwartz, Anderson and Cook",1,0
"Schwartz, Mccoy and Howard",1,0
Schwartz-Johnson,1,0
Scott Group,1,1
Scott LLC,4,1
Scott PLC,2,0
Scott and Sons,1,0
"Scott, Davis and Roy",1,0
"Scott, Duran and Ray",1,0
"Scott, Hayes and Miller",1,0
"Scott, Hoover and Brown",1,0
"Scott, Kelley and Reyes",1,0
"Scott, Lee and Moore",1,0
"Scott, Mendoza and Lee",1,0
"Scott, Mooney and Fisher",1,0
"Scott, Scott and Martinez",1,0
Scott-Elliott,1,0
Scott-Flores,1,1
Scott-Lee,1,0
Scott-Lewis,1,0
Scott-Maxwell,1,0
Scott-Sanchez,1,0
Scott-Silva,1,0
Scott-Sutton,1,0
Scottish Herring & Son's,1,1
Scottish Herring CJSC International,6,1
Scottish Herring CJSC Marine,9,1
Scottish Herring Leska GmbH Holdings,1,1
Scottish Herring Lighthouse LLC Solutions,2,1
Scottish Herring Tidal flat,4,1
Scottish Lobster AG Transit,2,1
Scottish Lobster Cruise ship SRL Transport,2,1
Scottish Lobster Ltd. Corporation,4,1
Scottish Lobster Sextant NV Express,1,1
Scottish Oysters Flotsam S.p.A. Services,4,1
Scottish Oysters Limited Liability Company Hull,10,1
Scottish Oysters Ltd. Corporation Marine conservation,2,1
Scottish Oysters Ltd. Liability Co,3,1
Scottish Oysters Plc Carriers,3,1
Scottish Trout NV & Son's,2,1
Scottish Trout Pic Solutions,1,1
Sea Breeze AB Worldwide,4,0
Sea Breeze CJSC Forwading,6,1
Sea Breeze Corporation Marine sanctuary,7,1
Sea Breeze GmbH & Co. KG Distribution,2,1
Sea Breezes AG Express,1,1
Sea Breezes Pic Logistics,1,1
Sea Breezes Sagl Seaside,2,1
Sea Harvest Marine conservation CJSC Marine,1,1
Sea Luxe Incorporated Shipping,1,1
Sea Luxe Limited Liability Company Brothers,1,1
Sea Luxe Limited Liability Company Shipping,3,1
Sea Luxe S.p.A. Seafarer,1,0
Sea Seekers SE Marine biology,6,1
Sea Shanty AG Freight,11,1
Sea Shanty International Herring,3,1
Sea Shanty LC Delivery,22,1
Sea Spray AS Cargo,4,1
Sea Spray GmbH & Co. KG Services,1,1
Sea Spray Ltd. Corporation United,4,0
Sea Spray Marine ecology,1,0
Sea Spray Pic Carriers,1,1
Sea Spray S.A. de C.V.,2,1
Sea Spray SRL Investment,2,1
Sea Spray Salt spray OJSC Marine sanctuary,1,1
Sea Star LLC Shipping,9,1
Sea Star Ltd. Liability Co,1,1
Sea Star Marine life,2,1
Sea Striders BV Shipping,5,1
Sea Striders CJSC United,2,1
Sea Striders Cargo Seal,2,1
Sea Striders Kelp BV Solutions,2,1
Sea Striders ОАО Shipping,1,1
SeaBass  Compass Corporation Overseas,22,1
SeaBass  GmbH & Co. KG,7,1
SeaBass  Leska N.V. International,1,1
SeaBass  Ltd. Liability Co Forwading,3,1
SeaBass &  BV Shipping,2,1
SeaBass &  LC Marine life,6,1
SeaBass Company AS Transport,3,1
SeaBass Company Beachcomber N.V. Delivery,5,1
SeaBass Company Express Estuary,27,1
SeaBass Company Ges.m.b.H. Consultants,6,1
SeaBass Company Limited Liability Company Marine biology,1,1
SeaBass Company Ltd. Corporation Transport,27,1
SeaBass Company Sagl Transit,22,1
SeaBite Marina Oyj Line,2,1
SeaBite SRL and Son's,3,1
SeaBites Bonito SE Transportation,1,1
SeaBites Limited Liability Company Solutions,3,1
SeaBounty Tidepool AG Merchants,1,1
SeaBounty Wakame Inc Transport,2,1
SeaFusion Inc & Son's,2,1
SeaFusion Limited Liability Company Delivery,4,1
SeaScape Foods Ltd Freight,16,1
SeaScape Foods Ltd. Liability Co,3,1
SeaSelect Foods Ltd. Corporation,2,1
SeaSelect Foods Oyj Transport,2,1
SeaSelect Foods Salt spray,3,1
SeaSelect Nautilus Limited Liability Company Marine ecology,14,1
SeaSelects Fish Ges.m.b.H. Carriers,1,0
SeaSelects Limited Liability Company Transport,2,1
SeaSelects Ltd Marine conservation,2,1
SeaSolutions  Co Marine ecology,2,1
SeaSolutions  Limited Liability Company,1,1
SeaSolutions  and GmbH & Co. KG Carriers,9,1
SeaSolutions Dry dock OJSC Transit,9,0
SeaSolutions Leska Kga Worldwide,8,1
SeaSolutions Marine biology Regatta,1,1
SeaSplash Foods A/S Import,1,1
SeaSplash Foods Corporation Freight,23,1
SeaSplash Foods Ltd. Liability Co Express,1,1
SeaSpray Marine mist N.V. Forwading,1,1
SeaSpritz Tide Plc Holdings,1,1
SeaSpritz and Ltd. Liability Co Overseas,3,1
SeaTree Rybachit Corp Consulting,30,1
SeaTrekker GmbH & Co. KG Solutions,3,1
Seaborn S.A. de C.V. Shipping,3,1
Seabreeze Foods AB Overseas,2,1
Seafarer's Club NV and Son's,2,1
Seafarer's Club SRL and,2,1
Seafaring Souls AB Worldwide,1,1
Seafaring Souls AS and,2,1
Seafaring Souls N.V. Transport,3,1
Seashell Sanctum Co Family,2,1
Seashell Sanctum Ltd. Liability Co Delivery,5,1
Seashell Sanctum Marine conservation,3,1
Seashell Seekers ОАО International,6,1
Seashell s  Limited Liability Company Buoy,1,1
Seashell s  Nautilus GmbH & Co. KG Marine biology,2,1
Seashell s  Oyj Worldwide,1,1
Seashell s  S.p.A. Forwading,8,1
Seashell s  Sea spray,2,1
Seashore Sanctuary AS Solutions,2,1
Seaside Sojourns Cargo ship,5,1
Seaside Sojourns Co Transport,1,1
Seaside Sojourns Creek N.V. Transit,2,1
Seaside Sojourns Sea spray,3,1
Seaside Strolls Beach Sagl Solutions,2,1
Seaside Summit CJSC Saltwater,7,1
Seaside Summit Solutions Estuary,24,1
Seaside Summit Tidal Incorporated Line,3,1
Selkie GmbH Marine life,2,1
Selkie Incorporated Marine conservation,3,1
Sellers Ltd,1,0
"Sellers, Newman and Cox",1,0
Sellers-Ford,1,0
Sellers-Kim,1,0
Selous Game Reserve  Corporation,1,1
Selous Game Reserve  GmbH & Co. KG Import,2,1
Selous Game Reserve  S.A. de C.V.,1,1
Selous Game Reserve  SE,3,2
Selous Game Reserve  SE Solutions,2,1
Selous Game Reserve  Sagl,1,1
Selous Game Reserve  Sagl Investment,2,1
Selous Game Reserve  Sp,2,1
Senegal Coast  Cod AS Carriers,6,1
Senegal Coast  Inc Cargo,2,1
Senegal Coast  Ltd. Corporation,1,1
Senegal Coast  Ltd. Liability Co,22,1
Senegal Coast  OJSC Whale,1,1
Senegal Coast  S.p.A. International,2,1
Senegal River  LLC Export,1,1
Senegal River  Sagl Dashi,1,1
Serengeti  Inc. America A/S Line,1,1
"Serrano, Barnes and Mcdonald",1,0
"Serrano, Brown and Ward",1,0
"Serrano, Holmes and Snyder",1,0
"Serrano, Jones and Henry",1,0
"Sexton, Luna and Young",1,0
Shaffer LLC,1,0
Shaffer Ltd,1,0
"Shaffer, Mendoza and Gonzalez",1,0
"Shaffer, Powell and Humphrey",1,0
"Shaffer, Yoder and Tucker",1,0
"Shah, Ritter and Henry",1,0
"Shah, Robinson and Johnson",1,0
Shannon Ltd,1,0
"Shannon, King and Murphy",1,0
Shannon-Bradford,1,0
Shanxi Surf Limited Liability Company Transportation,4,1
Sharp Inc,2,0
Sharp LLC,1,1
"Sharp, Fowler and Scott",1,0
